codi_eoi,nom_estacio,data,magnitud,contaminant,unitats,tipus_estacio,area_urbana,codi_ine,municipi,codi_comarca,nom_comarca,h01,h02,h03,h04,altitud,latitud,longitud,geocoded_column,:@computed_region_bh64_c7uy,:@computed_region_wvic_k925,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
08019044,Barcelona (Gràcia - Sant Gervasi),2022-11-08T00:00:00.000,10,PM10,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,22,21,21,15,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,12,12,12,21,30,35,39,39,39,36,22,31,30,31,27,27,27,23,24,22
08019004,Barcelona (Poblenou),2022-11-08T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,32,31,26,22,3,41.40388,2.204501,"{'type': 'Point', 'coordinates': [2.204501, 41.40388]}",512,29,23,23,24,70,51,55,47,58,58,35,28,35,36,40,38,27,23,24,28,25
08101001,L'Hospitalet de Llobregat,2022-11-08T00:00:00.000,10,PM10,µg/m3,background,urban,08101,"Hospitalet de Llobregat, l'",13,Barcelonès,36,29,31,31,29,41.370476,2.1149993,"{'type': 'Point', 'coordinates': [2.1149993, 41.370476]}",117,29,26,23,26,39,61,81,71,70,47,37,33,29,31,61,29,37,48,42,36,31
08194008,Sant Adrià de Besòs,2022-11-08T00:00:00.000,10,PM10,µg/m3,traffic,urban,08194,Sant Adrià de Besòs,13,Barcelonès,37,32,25,25,7,41.425594,2.2221997,"{'type': 'Point', 'coordinates': [2.2221997, 41.425594]}",841,29,25,25,24,30,28,31,34,41,54,30,24,23,20,17,16,21,15,25,28,25
08019054,Barcelona (Parc Vall Hebron),2022-11-08T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,11,10,9,9,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,7,10,8,11,17,18,17,18,24,27,15,18,23,22,20,23,21,25,22,22
08019058,Barcelona (Observatori Fabra),2022-11-08T00:00:00.000,10,PM10,µg/m3,background,suburban,08019,Barcelona,13,Barcelonès,10,9,9,9,415,41.41843,2.1238973,"{'type': 'Point', 'coordinates': [2.1238973, 41.41843]}",512,29,10,10,10,11,13,14,15,17,,,16,13,12,12,9,10,10,12,13,16
08019057,Barcelona (Palau Reial),2022-11-08T00:00:00.000,9,PM2.5,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,5,5,6,5,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,5,5,8,10,9,6,7,9,10,6,6,8,8,10,14,16,13,9,9,9
08019043,Barcelona (Eixample),2022-11-08T00:00:00.000,10,PM10,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,56,56,50,43,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,39,32,35,62,74,81,78,61,60,56,48,45,55,72,39,37,39,36,39,51
08019057,Barcelona (Palau Reial),2022-11-08T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,6,7,8,6,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,6,6,9,14,13,9,12,21,29,15,13,14,13,14,19,23,19,13,13,12
08194008,Sant Adrià de Besòs,2022-11-07T00:00:00.000,10,PM10,µg/m3,traffic,urban,08194,Sant Adrià de Besòs,13,Barcelonès,20,9,21,16,7,41.425594,2.2221997,"{'type': 'Point', 'coordinates': [2.2221997, 41.425594]}",841,29,12,18,22,24,44,46,53,65,57,28,25,24,20,15,22,31,44,36,39,37
